Artist,Song,Lyrics
Lana Del Ray,Blue Jeans,"Blue jeans, white shirt
Walked into the room, you know you made my eyes burn
It was like James Dean for sure
You're so fresh to death and sick as ca-cancer
You were sorta punk rock, I grew up on hip-hop
But you fit me better than my favorite sweater
And I know that love is mean (Oh-oh) and love hurts (Oh-oh)
But I still remember that day we met in December, oh, baby


I will love you 'til the end of time
I would wait a million years
Promise you'll remember that you're mine
Baby, can you see through the tears?
Love you more than those bitches before
Say you'll remember (Oh, baby)
Say you'll remember (Oh, baby)
Ooh, I will love you 'til the end of time


Big dreams, gangsta
Said you had to leave to start your life over
I was like, ""No, please, stay here
We don't need no money, we could make it all work""
But he headed out on Sunday, said he'd come home Monday
I stayed up waiting, anticipatin' and pacing
But he was chasin' (Oh-oh) paper (Oh-oh)
Caught up in the game, that was the last I heard
See Lana Del Rey LiveGet tickets as low as $160You might also like
I will love you 'til the end of time
I would wait a million years
Promise you'll remember that you're mine
Baby, can you see through the tears?
Love you more than those bitches before
Say you'll remember (Oh, baby)
Say you'll remember (Oh, baby)
Ooh, I will love you 'til the end of time


You went out every night and, baby, that's alright
I told you that, no matter what you did, I'd be by your side
'Cause I'm a ride or die whether you fail or fly
Well, shit, at least you tried
But when you walked out that door, a piece of me died
Told you I wanted more, that's not what I had in mind
I just want it like before, we were dancin' all night
Then they took you away, stole you out of my life
You just need to remember


I will love you 'til the end of time
I would wait a million years
Promise you'll remember that you're mine
Baby, can you see through the tears?
Love you more than those bitches before
Say you'll remember (Oh, baby)
Say you'll remember (Oh, baby)
Ooh, I will love you 'til the end of time"
Lana Del Ray,Fuck it I love you,"I like to see everything in neon
Drink  lime green, stay up 'til dawn
Maybe  the way that I'm living is killing me
I like to light up the stage with a song
Do shit to keep me turned on
But  one day I woke up like
""Maybe  I'll do it differently""


So I moved to California‚ but it's just a state of mind
It  turns out everywhere you go‚ you take yourself‚ that's not a lie
Wish that you would hold me or just say that you were mine
It's killing me slowly


Dream a little dream of me
Make  me into something sweet
Turn the radio on, dancing to a pop song
Fuck it, I love you
Fuck it‚ I love you
Fuck it, I love you
I really do


I used to shoot up my veins in neon
And shit's even brighter; you're gone
So many things I would say to you
I want you
See Lana Del Rey LiveGet tickets as low as $160You might also like
You moved to California, but it's just a state of mind
And you know everyone adores you
You can't feel it and you're tired
Baby‚ wish that you would hold me or just say that you were mine
But it's killing me slowly


Dream a little dream of me
Turn this into something sweet
Turn the radio on, dancing to a pop song
Fuck it, I love you
Fuck it, I love you
Fuck it, I love you
I really do


It turns out California's more than just a state of mind
I met you on the boulevard, braids in my hair, you blew my mind
And if I wasn't so fucked up, I think I'd fuck you all the time
(I really do)
It's killing me slowly


Fuck it, I love you (I moved to California, but it's just a state of mind)
Fuck it, I love you (It turns out everywhere you go, you take yourself, that's not a lie)
Fuck it, I love you (Wish that you would hold me or just say that you were mine)
I really do (It's killing me slowly)

(Fuck it, I love you)
California dreamin', got my money on my mind
(Fuck it, I love you)
Jazz in my veins, running out of time
(Fuck it, I love you)
California dreamin', got my money on my mind
(I really do)
Jazz in my veins, running out of time
(Fuck it, I love you)
California dreamin', got my money on my mind
(Fuck it, I love you)
Jazz in my veins, running out of time
(Fuck it, I love you)
California dreamin', got my money on my mind
(I really do)
Jazz in my veins, running out of time"
Lana Del Ray,Say Yes To Heaven,"If you dance, I'll dance
And if you don't, I'll dance anyway
Give peace a chance
Let the fear you have fall away


I've got my eye on you
I've got my eye on you


Say yes to Heaven
Say yes to me
Say yes to Heaven
Say yes to me


If you go, I'll stay
You come back, I'll be right here
Like a barge at sea
In the storm, I stay clear


'Cause I've got my mind on you
I've got my mind on you
See Lana Del Rey LiveGet tickets as low as $160You might also like
Say yes to Heaven
Say yes to me
Say yes to Heaven
Say yes to me


If you dance, I'll dance
I'll put my red dress on, get it on
And if you fight, I'll fight
It doesn't matter now, it's all gone


I've got my mind on you
I got my mind on you


Say yes to Heaven
Say yes to me
Say yes to Heaven
Say yes to me


I've got my eye on you
I've got my eye on you, mm
I've got my eye on you
I've got my eye on you"
Lana Del Ray,Happiness is a butterfly,"Do you want me or do you not?
I heard one thing, now I'm hearing another
Dropped a pin to my parking spot
The bar was hot, it's 2 AM, it feels like summer


Happiness is a butterfly
Try to catch it, like, every night
It escapes from my hands into moonlight
Every day is a lullaby
Hum it on the phone, like, every night
Sing it for my babies on the tour life, ah


If he's a serial killer, then what's the worst
That can happen to a girl who's already hurt?
I'm already hurt
If he's as bad as they say, then I guess I'm cursed
Looking into his eyes, I think he's already hurt
He's already hurt


I said, ""Don't be a jerk, don't call me a taxi""
Sitting in your sweatshirt, crying in the backseat, ooh
I just wanna dance with you
Hollywood and Vine, Black Rabbit in the alley
I just wanna hold you tight down the avenue
I just wanna dance with you
I just wanna dance with you
See Lana Del Rey LiveGet tickets as low as $160You might also like
Baby, I just wanna dance (Dance)
With you (Dance)
Baby, I just wanna dance (Dance)
With you


Left the canyon, drove to the club
I was one thing, now I'm being another
Laurel down to Sunset in the truck
I'll pick you up if you're in town on the corner, ah


Happiness is a butterfly
We should catch it while dancing
I lose myself in the music, baby
Every day is a lullaby
Try to catch it like lightning
I sing it into my music, I'm crazy


If he's a serial killer, then what's the worst
That can happen to a girl who's already hurt?
I'm already hurt
If he's as bad as they say, then I guess I'm cursed
Looking into his eyes, I think he's already hurt
He's already hurt

I said, ""Don't be a jerk, don't call me a taxi""
Sitting in your sweatshirt, crying in the backseat, ooh
I just wanna dance with you
Hollywood and Vine, Black Rabbit in the alley
I just wanna hold you tight down the avenue
I just wanna dance with you
I just wanna dance with you


Baby, I just wanna dance (Dance)
With you (Dance)
Baby, I just wanna dance (Dance)
With you"
Lana Del Ray,Ride,"Ooh-ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh-ooh, ooh-ooh-ooh


I been out on that open road
But you can be my full-time daddy, white and gold
Singing blues has been gettin' old
But you can be my full-time baby, hot or cold


Don't break me down (Don't break me down)
I been traveling too long (I been traveling too long)
I been tryin' too hard (I been tryin' too hard)
With one pretty song (With one pretty song)


I hear the birds on the summer breeze, I drive fast
I am alone at midnight
Been trying hard not to get into trouble, but I
I've got a war in my mind


So, I just ride, just ride
I just ride, I just ride
See Lana Del Rey LiveGet tickets as low as $160You might also like
Dying young and playing hard
That's the way my father made his life and art
Drink all day and we talk 'til dark
That's the way the road dogs do it, light 'til dark


Don't leave me now (Don't leave me now)
Don't say goodbye (Don't say goodbye)
Don't turn around (Don't turn around)
Leave me high and dry (Leave me high and dry)


I hear the birds on the summer breeze, I drive fast
I am alone at midnight
Been trying hard not to get into trouble, but I
I've got a war in my mind


I just ride, just ride
I just ride, I just ride


I'm tired of feeling like I'm fucking crazy
I'm tired of driving 'til I see stars in my eyes
It's all I've got to keep myself sane, baby
So I just ride, I just ride

I hear the birds on the summer breeze, I drive fast
I am alone at midnight
Been trying hard not to get into trouble, but I
I've got a war in my mind


I just ride, just ride
I just ride, I just ride"
Lana Del Ray,Love song,"In the car, in the car, in the backseat, I'm your baby
We go fast, we go so fast, we don’t move
I believe in a place you take me
Make you real proud of your baby
In your car, I'm a star and I'm burnin’ through you
In your car, I'm a star and I'm burnin' through you


Oh, be my once in a lifetime
Lyin' on your chest in my party dress
I'm a fuckin' mess, but I
Oh, thanks for the high life
Baby, it's the best, passed the test and yes
Now I’m here with you, and I
Would like to think that you would stick around
You know that I’d just die to make you proud
The taste, the touch, the way we love
It all comes down to make the sound of our love song


Dream a dream, here's a scene
Touch me anywhere ’cause I'm your baby
Grab my waist, don't waste any part
I believe that you see me for who I am
So spill my clothes on the floor of your new car
Is it safe, is it safe to just be who we are?
Is it safe, is it safe to just be who we are?
See Lana Del Rey LiveGet tickets as low as $160You might also like
Oh, be my once in a lifetime
Lyin' on your chest in my party dress
I’m a fuckin' mess, but I
Oh, thanks for the high life
Baby, it's the best, passed the test and yes
Now I'm here with you, and I
Would like to think that you would stick around
You know that I'd just die to make you proud
The taste, the touch, the way we love
It all comes down to make the sound of our love song
The taste, the touch, the way we love
It all comes down to make the sound of our love song"
Lana Del Ray,Summer Bummer,"It's never too late
To be who you wanna be
(Swimmin' in my safe)
To say what you wanna say
(Tattoo on my face), (Swimmin' in my safe)
(Tattoo on my face), (Swimmin' in my safe)
And it's never too late
To leave if you wanna leave (Better not)
Or to stay if you wanna stay
But, baby (Yeah)
I got a feelin' in my bones
(Tattoo on my face), (Swimmin' in my safe)
Can't get you out of my veins (Yeah, yeah)
You can't escape my affection (Yeah, yeah)
Wrap you up in my daisy chains (What? What? What? What?)


Hip-hop in the summer (What? What? What?)
Don't be a bummer, babe (What? What? Yeah?)
Be my undercover lover, babe, hmm
(What? What? What? What? What? What? Yeah
What? What? What?)
High tops in the summer (Summer, what? What? What?)
Don't be a bummer, babe (Summer, what? What? What?)
Be my undercover lover, babe, hmm (What? What? What? What? What?)
See Lana Del Rey LiveGet tickets as low as $160You might also like
Uh, her sophistication make you wanna quit the bitch you datin'
Let's skip the games, let's quit the playin'
Boo, let's get acquainted (What?)
Notifications sync in place even when we're on vacation (Yeah)
I knew she'd notice like I missed the payment, dang it (What? Ooh)
But bang it like my fingers (Ooh, what?)
She pray to God I made it (What?)
But bankin' like my Franklins (Yeah)
My neighbors stopped the hatin' (Yeah)
What? (What? They been at it, check it out), huh? (We been out here)
Yeah, slide inside it (What?)
Diddy Boppin' (What?), Milly Rockin' (What? What?)
She just might become my lover for real (Yeah that's good; For real, for real)
I might fuck with her all summer for real (For real, for real)
They better not holla if I cuff her for real (For real, for real)
Niggas better run for cover for real
Goin' bell how I feel, close the deal, pop a seal
Take the whip, two pills on the lips on the wheel (For real, for real)
Truthfully, between you and me, I'm usually single
When it's hot outside this, I ride through any hood with the top out
Hop out


Hip-hop in the summer (What? What? What?)
Don't be a bummer, babe (What? What? Yeah?)
Be my undercover lover, babe, hmm
(What? What? What? What? What? What? Yeah
What? What? What?)
High tops in the summer (Summer, what? What? What?)
Don't be a bummer, babe (Summer, what? What? What?)
Be my undercover lover, babe, hmm (What? What? What? What? What?)

White lies and black beaches
Miles in between us
Is this love or lust or some game on repeat?
It's like makin' me crazy
Tell me have patience
Baby, I need this
White lines and black beaches
White lies and black beaches
And blood red sangrias
We traveled for weeks just to escape your demons
But you've got your reasons
In makin' me crazy
But you've got your reasons
White lights and black beaches


High tops in the summer (Top out, hop out, hop out)
Don't be a bummer, babe (Top out, hop out, hop out)
Don't be a bummer (Top out, hop out, hop out)
Don't be a bummer (Babe)


Hip-hop in the summer (What? What? What?)
Don't be a bummer, babe (What? What? Yeah?)
Be my undercover lover, babe, hmm
(What? What? What? What? What? What? Yeah
What? What? What?)
High tops in the summer (Summer, what? What? What?)
Don't be a bummer, babe (Summer, what? What? What?)
Be my undercover lover, babe (What? What? What? What? What?)

Don't be a bummer, babe
Ooh ohh, ooh ohh
Ooh ohh, ooh ohh"
Lana Del Ray,The greatest,"I miss Long Beach and I miss you, babe
I miss dancing with you the most of all
I miss the bar where the Beach Boys would go
Dennis' last stop before Kokomo


Those nights were on fire
We couldn't get higher
We didn't know that we had it all
But nobody warns you before the fall


And I'm wasted
Don't leave‚ I just need a wake-up call
I'm facing the greatest
The greatest loss of them all
The culture is lit and I had a ball
I guess I'm signing off after all




I miss New York and I miss the music
Me and my friends‚ we miss rock 'n' roll
I want shit to feel just like it used to
When‚ baby, I was doing nothin' the most of all
See Lana Del Rey LiveGet tickets as low as $160You might also like
The culture is lit, and if this is it‚ I had a ball
I guess that I'm burned out after all


I'm wasted
Don't leave, I just need a wake-up call
I'm facing the greatest
The greatest loss of them all
The culture is lit and I had a ball
I guess that I'm burned out after all


If this is it, I'm signing off
Miss doing nothin' the most of all
Hawaii just missed that fireball
L.A. is in flames‚ it's getting hot
Kanye West is blond and gone
""Life on Mars?"" ain't just a song
Oh, the live stream's almost on"
Lana Del Ray,Diet Mountain Dew (The Flight Demo),"You're no good for me
Baby, you're no good for me
You're no good for me
But, baby, I want you, I want you


Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?


Baby, put on heart-shaped sunglasses
'Cause we gonna take a ride
I'm not gonna listen to what the past says
I been waitin' up all night
Take another drag, turn me to ashes
Ready for another lie?
Says he's gonna teach me just what fast is
Say it's gonna be alright


Hit me, my darling, tonight
I don't know why but I like it
Gotta get back to the wild
Give it up, give it up
Live it up, live it up
See Lana Del Rey LiveGet tickets as low as $160You might also like
Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?


Let's take Jesus off the dashboard
Got enough on his mind
We both know just what we're here for
Saved too many times
Maybe I like this roller coaster
Maybe it keeps me high
Maybe the speed, it brings me closer
I could sparkle up your eye


Hurt me and tell me you're mine
I don't know why but I like it
Scary? My God, you're divine
Gimme them, gimme them dope and diamonds

Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?


You're no good for me
Baby, you're no good for me
You're no good for me
But baby, I want you, I want you
You're no good for me
Baby, you're no good for me
You're no good for me
But baby, I want you, I want you, I want you


Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?

Baby stoppin' at 7-Eleven
There in his white Pontiac Heaven
Do you think we'll be in love forever?
Do you think we'll be in love?


Diet Mountain Dew, baby, New York City
Can we hit it now, low-down and gritty?
Do you think we'll be in love forever?
Do you think we'll be in love?
Diet Mountain Dew, baby, New York City
Never was there ever a girl so pretty
Do you think we'll be in love forever?
Do you think we'll be in love?"
Lana Del Ray,Cola,"My pussy tastes like Pepsi cola
My eyes are wide like cherry pies
I gots a taste for men who are older
It's always been so it's no surprise


Harvey's in the sky with diamonds and he's making me crazy
(I come alive, alive)
All he wants to do is party with his pretty baby


Come on, baby, let's ride
We can escape to the great sunshine
I know your wife and she wouldn't mind
We made it out to the other side
We made it out to the other side
We made it out to the other side


Come on, come on
Come on, come on, come on, baby
Oh, oh yeah


I fall asleep in an American flag
I wear my diamonds on Skid Row
I pledge allegiance to my dad
For teaching me everything he knows
See Lana Del Rey LiveGet tickets as low as $160You might also like
Harvey's in the sky with diamonds and he's making me crazy
(I come alive, alive)
All he wants to do is party with his pretty baby


Come on, baby, let's ride
We can escape to the great sunshine
I know your wife and she wouldn't mind
We made it out to the other side
We made it out to the other side
We made it out to the other side


Drugs, suck it up, like vanilla icys
Don't treat me rough, treat me really niceys
Decorate my neck, diamantes ices
Why, come on, come on
(Ooh-ooh, ooh-ooh, ooh-ooh, ooh yeah)


Come on, baby, let's ride
We can escape to the great sunshine
I know your wife and she wouldn't mind
We made it out to the other side
Come on, baby, let's ride
We can escape to the great sunshine
We made it out to the other side
We made it out to the other side

Come on, come on, come on, baby
Come on, come on, come on, baby
Oh, oh
My pussy tastes like Pepsi cola
Ooh, ahh
My pussy tastes like Pepsi cola
Ooh-ooh, ooh-ooh, ooh-ooh
My pussy tastes like Pepsi cola
Ooh, oh yeah"
Lana Del Ray,Radio,"Not even they can stop me now
Boy, I be flyin' overhead
Their heavy words can't bring me down
Boy, I've been raised from the dead


No one even knows how hard life was
I don't even think about it now because
I finally found you
Oh, sing it to me


Now my life is sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Pick me up and take me like a vitamin
'Cause my body's sweet like sugar venom, oh, yeah
Baby, love me 'cause I'm playin' on the radio
How do you like me now?


American dreams came true somehow
I swore I'd chase 'em 'til I was dead
I heard the streets were paved with gold
That's what my father said
See Lana Del Rey LiveGet tickets as low as $160You might also like
No one even knows what life was like
Now I'm in L.A. and it's paradise
I finally found you
Oh, sing it to me


Now my life is sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Pick me up and take me like a vitamin
'Cause my body's sweet like sugar venom, oh, yeah
Baby, love me 'cause I'm playin' on the radio
How do you like me now?


Sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Sweet like cinnamon
Like a fucking dream I'm livin' in
I finally found you (Radio, radio, radio)
Oh, sing it to me

Now my life is sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Pick me up and take me like a vitamin
'Cause my body's sweet like sugar venom, oh, yeah
Baby, love me 'cause I'm playin' on the radio
How do you like me now? (Oh, sing it to me)
Now my life is sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Pick me up and take me like a vitamin
'Cause my body's sweet like sugar venom, oh, yeah
Baby, love me 'cause I'm playin' on the radio
How do you like me now?"
Lana Del Ray,Get Free,"Finally, I'm crossing the threshold
From the ordinary world
To the reveal of my heart
Undoubtedly, that will for certain
Take the dead out of the sea
And the darkness from the arts


This is my commitment, my modern manifesto
I'm doin' it for all of us who never got the chance
For and for (Shut up, shut up)
And all my birds of paradise (Shut up, shut up)
Who never got to fly at night (Shut up, shut up)
'Cause they were caught up in the dance


Sometimes, it feels like I've got a war in my mind
I wanna get off, but I keep ridin' the ride
I never really noticed that I had to decide
To play someone's game or live my own life
And now I do, I wanna move
Out of the black (Out of the black) into the blue (Into the blue)


Finally, gone is the burden
Of the Crowley way of bein'
That comes from energies combined
Like my part was, I was not discernin'
And you, as we found out
Were not in your right mind
See Lana Del Rey LiveGet tickets as low as $160You might also like
There's no more chasing rainbows and hoping for an end to them
Their arches are illusions, solid at first glance
But then you try to touch them (Touch, touch)
There's nothing to hold on to (Shut up, shut up)
The colors used to lure you in (Shut up, shut up)
And put you in a trance (Ah, yeah)


Sometimes, it feels like I've got a war in my mind
I wanna get off, but I keep ridin' the ride
I never really noticed that I had to decide
To play someone's game or live my own life
And now I do, I wanna move
Out of the black (Out of the black) into the blue (Into the blue)


Out of the black (Out of the black) into the blue (Into the blue)
Out of the black (Out of the black) into the blue (Into the blue)"
Lana Del Ray,Salvatore,"All the lights in Miami begin to gleam
Ruby, blue and green, neon too
Everything looks better from above, my king
Like aquamarine, ocean's blue


Ah-ah-ah-ah, ah-ah-ah-ah-ah
Cacciatore
La-da-da-da-da, la-da-da-da-da
Limousines
Ah-ah-ah-ah, ah-ah-ah-ah-ah
Ciao, amore
La-da-da-da-da, la-da-da-da-da
Soft ice cream


All the lights are sparkling for you it seems
On the downtown scenes, shady blue
Beatboxing and rapping in the summer rain
Like a boss, you sang jazz and blues


Ah-ah-ah-ah, ah-ah-ah-ah-ah
Cacciatore
La-da-da-da-da, la-da-da-da-da
Limousines
Ah-ah-ah-ah, ah-ah-ah-ah-ah
Ciao, amore
La-da-da-da-da, la-da-da-da-da
Soft ice creams
See Lana Del Rey LiveGet tickets as low as $160You might also like
The summer's wild and I've been waiting for you all this time
I adore you, can't you see you're meant for me?
The summer's hot but I've been cold without you
I was so wrong not to doubt your Medellín, tangerine dreams


Catch me if you can, working on my tan
Salvatore
Dying by the hand of a foreign man happily
Calling out my name in the summer rain
Ciao, amore
Salvatore can wait
Now it's time to eat soft ice cream


Ah-ah-ah-ah, ah-ah-ah-ah-ah
Cacciatore
Ah-ah-ah-ah, ah-ah-ah-ah-ah
Limousines
Ah-ah-ah-ah, ah-ah-ah-ah
Ciao amore
Ah-ah-ah-ah, ah-ah-ah-ah-ah
Soft ice cream"
Lana Del Ray,Fingertips,"When I look back, tracing fingertips over plastic bags
Thinking, ""I wish I could extrapolate some small intention
Or maybe just get your attention for a minute or two""


Will I die? Or will I get to that ten-year mark?
Where I beat the extinction of telomeres?
And if I do, will you be there with me, Father, Sister, Brother?


Charlie, stop smoking
Caroline, will you be with me?
Will the baby be alright?
Will I have one of mine?
Can I handle it even if I do?
It's said that my mind
Is not fit, or so they said, to carry a child
I guess I'll be fine


It wasn't my idea, the cocktail of things that twists neurons inside
But without them, I'd die
They say there's irony in the music, it's a tragedy, I
See nothing Greek in it
Give me a mausoleum in Rhode Island with Dad, Grandma, Grandpa, and Dave
Who hung himself real high
In the National Park sky, it's a shame and I'm crying right now
To get to you, save you, if I take my life
Find your astral body, put it into my arms
Give you two seconds to cry
Take you home, I, I'll give you a blanket
Your spirit can sit and watch TV by my side
'Cause, baby, I
Ran through a time when I felt you were doing it
See Lana Del Rey LiveGet tickets as low as $160You might also like
I couldn't handle it, I was in Monaco
I couldn't hear what they said on the telephone
I had to sing for the prince in two hours
Sat in the shower
Gave myself two seconds to cry
It's a shame that we die


When I was fifteen, naked, next-door neighbors did a drive-by
Pulled me up by my waist, long hair to the beach side
I wanted to go out like you, swim with the fishes
That he caught on Rhode Island beaches
But, sometimes, it's just not your time

Caroline, what kind of mother was she to say I'd end up in institutions?
All I wanted to do was kiss Aaron Greene and sit by
The lake, twisting lime into the drinks that they made
Have a babe at sixteen in the town I was born in, and die


Aaron ended up dead and not me
What the fuck's wrong in your head to send me away, never to come back?
Exotic places and people don't take the place of being your child
I give myself two seconds to cry

Let it crash over me
Like the waves in the sea
Call me Aphrodite, as they bow down to me


Sunbather, moon chaser, queen of empathy
I give myself two seconds to breathe
And go back to being a serene queen
I just needed two seconds to be me"
Lana Del Ray,Margaret,"This is a simple song, gonna write it for a friend
My shirt is inside out, I'm messy with the pen
He met Margaret on a rooftop, she was wearin' white
And he was like, ""I might be in trouble""
He had flashes of the good life, he was like
""Should I jump off this building now or do it on the double?""


'Cause, baby, if your love is in trouble
Baby, if your love is in trouble
Baby, if your love is in trouble


When you know, you know
When you know, you know
It kinda makes me laugh
Runnin' down that path
When you're good as gold
'Cause when you know, you know


Word to all my friends
With their rеd flags, their white knights
Their black еyes and their blue lies
If you're askin' yourself, ""How do you know?""
Then that's your answer, the answer is ""No""
You gotta run, gotta run, run, run, run like your head's on fire
Run away like your head is on fire
See Lana Del Rey LiveGet tickets as low as $160You might also like
'Cause, baby, if your love is in trouble
Baby, if your love is in trouble
Baby, if your love is in trouble


When you know, you know
When you know, you know
It kinda makes me laugh
Runnin' down that path
When you're good as gold
'Cause when you know, you know
And when you're old, you're old
Like Hollywood and me
The diamond on your ring
The soul that you bring to the table
The one that makes me sing
In a minor key
'Cause when you know, you know
When you know, you know


So if you don't know, don't give up
'Cause you never know what the new day might bring


Maybe tomorrow you'll know
Maybe tomorrow you'll know
Maybe tomorrow you'll know
I mean, join the party
By the way, the party is December 18
(Alright, let's waltz this out, kids)

'Cause when you know, you know
And when you're old, you're old
Like Hollywood and me
That diamond on your ring
The soul that you bring to the table
The one that makes me sing
In a minor key
Diamond on your ring
'Cause when you know, you know
When you know, you know"
Lana Del Ray,Gods & Monsters,"L.A., L.A.​
L.A., L.A.​


In the land of gods and monsters
I was an angel living in the garden of evil
Screwed up, scared, doing anything that I needed
Shining like a fiery beacon


You got that medicine I need
Fame, liquor, love, give it to me slowly
Put your hands on my waist, do it softly
Me and God, we don't get along, so now I sing


No one's gonna take my soul away
I'm living like Jim Morrison
Headed towards a fucked up holiday
Motel sprees, sprees and I'm singing
""Fuck yeah, give it to me, this is﻿ Heaven, what I truly want""
It's innocence lost, innocence lost


In the land of gods and monsters
I was an angel looking to get fucked hard
Like a groupie incognito, posing as a real singer
Life imitates art
See Lana Del Rey LiveGet tickets as low as $160You might also like
You got that medicine I need
Dope, shoot it up, straight to the heart, please
I don't really wanna know what's good for me
God's dead, I said, ""Baby, that's alright with me""


No one's gonna take my soul away
I'm living like Jim Morrison
Headed towards a fucked up holiday
Motel sprees, sprees and I'm singing
""Fuck yeah, give it to me, this is﻿ Heaven, what I truly want""
It's innocence lost, innocence lost


When you talk, it's like a movie and you're makin' me crazy
'Cause life imitates art
If I get a little prettier, can I be your baby?
You tell me life isn't that hard


No one's gonna take my soul away
I'm living like Jim Morrison
Headed towards a fucked up holiday
Motel sprees, sprees and I'm singing
""Fuck yeah, give it to me, this is﻿ Heaven, what I truly want""
It's innocence lost, innocence lost"
Lana Del Ray,Shades of Cool,"My baby lives in shades of blue
Blue eyes and jazz and attitude
He lives in California, too
He drives a Chevy Malibu
And when he calls, he calls for me and not for you
He lives for love, he loves his drugs, he loves his baby, too


But I can't fix him, can't make him better
And I can't do nothing about his strange weather


But you are unfixable
I can't break through your world
'Cause you live in shades of cool
Your heart is unbreakable


My baby lives in shades of cool
Cold heart and hands and aptitude
He lives for love, for women, too
I'm one of many, Bonnie's blue
And when he calls, he calls for me and not for you
He prays for love, he prays for peace, and maybe someone new
See Lana Del Rey LiveGet tickets as low as $160You might also like
But I can't help him, can't make him better
And I can't do nothing about his strange weather


'Cause you are unfixable
I can't break through your world
'Cause you live in shades of cool
Your heart is unbreakable


Your hot, hot weather in the summer
High, high, neglectful lover
Hot, hot weather in the summer
High, neglectful lover
You're crumbling, sadly
You're sadly, crumbling


You are unfixable
I can't break through your world
'Cause you live in shades of cool
Your heart is unbreakable


Pa pa da pa
Pa pa da ah, oh
Oh, oh
Oh"
Lana Del Ray,Heroin,"Topanga is hot tonight, the city by the bay
Has movie stars and liquor stores and soft decay
The rumblin' from distant shores sends me to sleep
But the facts of life can, sometimes, make it hard to dream


Life rocked me like Mötley
Grabbed me by the ribbons in my hair
Life rocked me ultra softly
Like the heavy metal that you wear


I'm flyin' to the moon again, dreamin' about heroin
How it gave you everythin' and took your life away
I put you on an aeroplane destined for a foreign land
I hoped that you'd come back again and tell me everything's okay
Ayy, babe, yeah


Topanga's hot today, Manson's in the air
And all my friends have gone, 'cause they still feel him here
I wanna leave, I'll probably stay another year
It's hard to leave when absolutely nothing's clear


Life rocked me like Mötley
Bad beginnin' to my new year
Life rocked me ultra softly
Like the heavy metal that you hear
See Lana Del Rey LiveGet tickets as low as $160You might also like
I'm flyin' to the moon again, dreamin' about heroin
And how it gave you everythin', then took your life away
I put you on the aeroplane destined for a foreign land
I thought that you'd come back again to tell me everything's okay
Babe, babe, yeah


(It's fuckin' hot, hot) Winter in the city
Somethin' 'bout this weather made these kids go crazy
(It's hot) Even for February
Somethin' 'bout this Sun has made these kids get scary
Oh, writin' in blood on my walls and shit
Like, ah, oh my God
Jumpin' off from the walls into the docks and shit
Oh, ho-ho-ho, I'd be lyin' if I said I wasn't sick of it
Baby (Baby), come on (Come on), come on (Come on)


I'm flyin' to the moon again, dreamin' about marzipan
Takin' all my medicine to take my thoughts away
I'm gettin' on that aeroplane, leavin' my old man again
I hope that I come back one day to tell you that I really changed
Baby


(It's hot, hot) Somethin' 'bout the city
Don't know what it is, it makes my head get crazy
Oh, makes me feel like I can change
Oh, ho-ho-ho, all of my evil ways and shit
Mmm, mmm, mmm
I'd be lying if I said I wasn't sick of it"
